timestamp,building_id,floor,room,zone,equipment_id,temperature_c,pressure_bar,vibration_mm_s,power_kw,humidity_pct
2026-04-14 11:44:57.806065,B2,5,202,West,HVAC_1,22.544656603862446,2.115067226574975,1.2828794941800705,11.249693614901423,32.80198390524657
2026-04-14 11:49:57.806065,B2,3,202,West,PUMP_1,22.056328881261003,2.557750396027468,1.6302425733074302,25.689291660290614,44.80897696681888
2026-04-14 11:54:57.806065,B2,2,101,North,HVAC_1,21.36251105685917,2.699705564159885,1.3765414312283162,16.703358824056508,40.108630108328214
2026-04-14 11:59:57.806065,B2,5,202,West,PUMP_1,19.93944503967224,2.4273490751188307,1.3979195906958086,20.513088842298412,37.60514724795726
2026-04-14 12:04:57.806065,B1,5,201,South,HVAC_2,26.437529182701653,2.7608142184094597,1.6628765204779947,17.01017963366511,50.01305614099566
2026-04-14 12:09:57.806065,B2,1,102,South,PUMP_1,22.434466887436425,3.401061286680366,1.081737542101799,14.843437377659763,46.63931121674855
2026-04-14 12:14:57.806065,B1,1,101,East,PUMP_1,19.116855898840747,2.803255605032097,0.9627829249062289,20.325726155606606,66.17566580068538
2026-04-14 12:19:57.806065,B2,3,101,South,HVAC_1,24.261158806781836,2.5184529208102524,1.2013802027825622,18.086966467774964,48.07208369228695
2026-04-14 12:24:57.806065,B2,5,102,North,PUMP_1,24.183444466673034,2.508574382397788,1.6256806325692996,22.5281511616845,35.46164623965103
2026-04-14 12:29:57.806065,B1,1,201,West,HVAC_2,19.014366834664553,2.1844022474449876,0.8544629790627336,19.14926990543026,40.537723229201085
2026-04-14 12:34:57.806065,B1,1,101,East,HVAC_2,23.785851621075025,2.4914603419104133,1.178468609690676,14.958563413330799,65.52680073670979
2026-04-14 12:39:57.806065,B2,4,201,East,HVAC_2,23.68046556716632,2.648716150502578,1.4559851008410694,19.520343462303956,63.107161402088636
2026-04-14 12:44:57.806065,B1,2,ServerRoom,North,HVAC_2,21.208147660222274,2.2777611649119986,1.3255325542655862,20.927256920736628,58.99754469955185
2026-04-14 12:49:57.806065,B2,4,101,West,PUMP_1,25.21860377485461,2.1997442910680767,1.1373312291304434,21.145731300186913,41.763442593852844
