timestamp,building_id,floor,room,zone,equipment_id,temperature_c,pressure_bar,vibration_mm_s,power_kw,humidity_pct,temp_status,pressure_status,vibration_status,power_status,humidity_status,is_anomaly
2026-04-07 13:04:48.587662,B2,5,202,East,PUMP_1,21.50519958018881,2.2397702907465518,1.0699760875361253,12.910941779630068,49.17682235315108,Yellow,Green,Green,Yellow,Green,1
2026-04-07 13:09:48.587662,B1,4,ServerRoom,South,PUMP_1,25.25506250678719,2.435977699141567,0.8650270485013294,20.86689622306188,58.989394445169765,Red,Green,Yellow,Yellow,Yellow,1
2026-04-07 13:14:48.587662,B2,4,202,North,HVAC_2,21.65059555600237,2.775704637342542,1.3723831306621763,14.014076759197238,39.7304510677052,Yellow,Green,Green,Yellow,Yellow,1
2026-04-07 13:19:48.587662,B1,5,101,South,HVAC_2,22.673286164375103,2.2489139401179736,1.2631105857120837,15.98312416951582,36.419066205050456,Yellow,Green,Green,Yellow,Yellow,1
2026-04-07 13:24:48.587662,B1,4,102,North,PUMP_1,22.86951571585691,2.408139762856541,1.400097690250598,17.327510566857487,45.33867205554489,Yellow,Green,Green,Green,Green,1
2026-04-07 13:29:48.587662,B2,5,102,North,HVAC_2,21.783560921959477,2.5295239728183154,1.0394781787268808,15.045231030110344,38.16038443788258,Yellow,Green,Green,Yellow,Yellow,1
2026-04-07 13:34:48.587662,B2,4,102,West,HVAC_2,22.80669133571675,2.4132970438386856,1.0437833729192805,17.2995644442062,48.16323622185848,Yellow,Green,Green,Green,Green,1
2026-04-07 13:39:48.587662,B2,4,101,West,HVAC_1,22.298272930192063,2.3754544645796063,1.4084603980531507,13.270320343993792,49.85787326641588,Yellow,Green,Green,Yellow,Green,1
2026-04-07 13:44:48.587662,B1,1,102,East,PUMP_1,20.859767023349374,2.367635071879176,0.9488751598791108,17.03473027310961,52.51613208433773,Yellow,Green,Green,Green,Yellow,1
2026-04-07 13:49:48.587662,B1,2,101,North,HVAC_2,20.17082320903513,2.783791600694081,0.9775798083652052,21.1118153519845,36.44205315082695,Green,Green,Green,Yellow,Yellow,1
